Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_12x9.5RM6.6",212.204000,-18.486000,-90.000000,top
"C1","100n","C_0603_1608Metric",74.930000,-31.623000,180.000000,top
"C2","10u","C_0805_2012Metric",115.316000,-28.956000,90.000000,top
"C3","1u","C_0603_1608Metric",86.868000,-20.574000,135.000000,top
"C4","100n","C_0603_1608Metric",8.509000,-14.351000,90.000000,top
"C5","100n","C_0603_1608Metric",8.509000,-24.003000,90.000000,top
"C6","100n","C_0603_1608Metric",8.509000,-33.909000,90.000000,top
"C7","100n","C_0603_1608Metric",201.930000,-11.557000,180.000000,top
"C8","6pF","C_0603_1608Metric",154.940000,-16.269000,-90.000000,top
"C9","6pF","C_0603_1608Metric",154.940000,-12.700000,90.000000,top
"C10","70mF","SM3R3703T01U",143.600000,-23.000000,180.000000,top
"C11","100u","CP_Radial_D5.0mm_P2.00mm",104.587113,-15.494000,180.000000,top
"C12","100n","C_0603_1608Metric",103.759000,-23.241000,180.000000,top
"C13","10u","C_0603_1608Metric",41.047500,-13.500000,0.000000,top
"C14","10u","C_0805_2012Metric",103.759000,-25.146000,180.000000,top
"C15","1u","C_0603_1608Metric",117.570000,-9.557000,-90.000000,top
"C16","100n","C_0603_1608Metric",37.500000,-13.500000,180.000000,top
"C17","1u","C_0603_1608Metric",124.587000,-22.733000,90.000000,top
"C18","100n","C_0603_1608Metric",152.400000,-19.050000,-90.000000,top
"C19","100u","CP_Radial_D5.0mm_P2.00mm",100.711000,-29.657113,90.000000,top
"D1","B5819W","D_SOD-123",221.221000,-22.667000,-90.000000,top
"D2","B5819W","D_SOD-123",113.030000,-28.702000,90.000000,top
"D3","3V3","D_MiniMELF",98.000000,-24.400000,0.000000,top
"D4","5V6","D_MiniMELF",97.300000,-15.000000,180.000000,top
"D5","B5819W","D_SOD-123",149.800000,-20.000000,90.000000,top
"G1","CoufalElektronika_logo","Coufal_elektronika_text_30x13mm",164.211000,-33.401000,0.000000,top
"G3","Vedatori_logo","Vedatori_15mm",29.972000,-31.750000,0.000000,top
"J1","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",26.000000,-6.000000,90.000000,top
"J2","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",89.000000,-6.000000,90.000000,top
"J3","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",128.000000,-6.000000,90.000000,top
"J4","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",167.000000,-6.000000,90.000000,top
"J5","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",230.000000,-6.000000,90.000000,top
"J6","Conn_01x06_Male","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",82.000000,-34.500000,0.000000,top
"J7","918-418K2023S40001","USB_C_Receptacle_HRO_TYPE-C-31-M-12",2.740000,-5.500000,-90.000000,top
"J8","Conn_01x03","JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal",212.700000,-8.140000,180.000000,top
"J9","Conn_01x05_Male","PinHeader_1x05_P2.54mm_Vertical",176.789000,-23.749000,90.000000,top
"Q1","2N7002","SOT-23",203.441000,-23.937000,0.000000,top
"Q2","S8050","SOT-23",39.370000,-16.129000,180.000000,top
"Q3","S8050","SOT-23",43.688000,-16.129000,0.000000,top
"Q4","2N7002","SOT-23",50.100000,-4.900000,90.000000,top
"R1","10K","R_0603_1608Metric",200.520000,-23.937000,-90.000000,top
"R2","10K","R_0603_1608Metric",84.708163,-18.363363,-45.000000,top
"R3","4K7","R_0603_1608Metric",197.599000,-16.825000,0.000000,top
"R4","5K1","R_0603_1608Metric",12.800000,-2.900000,0.000000,top
"R5","5K1","R_0603_1608Metric",15.300000,-14.900000,0.000000,top
"R6","5K1","R_0603_1608Metric",13.843000,-7.620000,-90.000000,top
"R7","5K1","R_0603_1608Metric",11.684000,-8.509000,90.000000,top
"R8","470R","R_0603_1608Metric",22.860000,-14.224000,0.000000,top
"R9","470R","R_0603_1608Metric",22.860000,-15.748000,0.000000,top
"R10","12K","R_0603_1608Metric",35.496000,-16.967000,180.000000,top
"R11","12K","R_0603_1608Metric",35.496000,-15.367000,180.000000,top
"R12","R_Photo","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",113.560000,-8.001000,180.000000,top
"R13","10K","R_0603_1608Metric",120.999000,-9.557000,-90.000000,top
"R14","R_Photo","R_LDR_5.1x4.3mm_P3.4mm_Vertical",133.500000,-16.800000,180.000000,top
"R15","10K","R_0603_1608Metric",131.100000,-21.000000,0.000000,top
"R16","1K","R_0603_1608Metric",50.000000,-7.700000,0.000000,top
"R17","1K","R_0603_1608Metric",53.100000,-4.800000,-90.000000,top
"R18","10K","R_0603_1608Metric",179.324000,-27.305000,90.000000,top
"R19","10K","R_0603_1608Metric",181.864000,-27.432000,90.000000,top
"R20","10R","R_0603_1608Metric",149.000000,-23.400000,180.000000,top
"R21","100K","R_0603_1608Metric",119.348000,-9.557000,-90.000000,top
"R22","100K","R_0603_1608Metric",128.397000,-21.717000,-90.000000,top
"R23","100K","R_0603_1608Metric",18.034000,-21.590000,0.000000,top
"R24","100K","R_0603_1608Metric",13.208000,-17.272000,0.000000,top
"RESET1","SW_SPST","SW_SPST_TL3342",38.354000,-21.209000,180.000000,top
"SW1","SW_SPST","SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",2.862500,-17.975000,90.000000,top
"SW2","SW_SPST","SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",2.862500,-27.675000,90.000000,top
"SW3","SW_SPST","SW_Tactile_SPST_Angled_PTS645Vx83-2LFS",2.862500,-37.375000,90.000000,top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",63.246000,-23.368000,180.000000,top
"U3","DS1302ZN+","SOIC-8_3.9x4.9mm_P1.27mm",149.860000,-14.478000,180.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",107.061000,-31.242000,-90.000000,top
"U5","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",29.000000,-17.800000,0.000000,top
"Y1","Crystal_GND2","Crystal_DS26_D2.0mm_L6.0mm_Horizontal_1EP_style2",157.036000,-15.682000,90.000000,top
